#spec;afo id;file

BSI-eRp-ePA;O.Auth_15;doc/manual/requirement-notes.md:137
BSI-eRp-ePA;O.Cryp_1;doc/manual/requirement-notes.md:112
BSI-eRp-ePA;O.Cryp_1;Sources/IDPLive/DefaultIDPSession.swift:834
BSI-eRp-ePA;O.Cryp_1;Sources/IDPLive/DefaultIDPSession.swift:871
BSI-eRp-ePA;O.Cryp_1;Sources/IDPLive/DefaultIDPSession.swift:912
BSI-eRp-ePA;O.Cryp_1;Sources/IDP/internal/JWT/JWE+Encryption.swift:43
BSI-eRp-ePA;O.Cryp_1;Sources/IDP/internal/TokenPayload.swift:222
BSI-eRp-ePA;O.Cryp_2;doc/manual/requirement-notes.md:113
BSI-eRp-ePA;O.Cryp_3;doc/manual/requirement-notes.md:114
BSI-eRp-ePA;O.Cryp_3;Sources/IDP/PrivateKeyContainer.swift:80
BSI-eRp-ePA;O.Cryp_3;Sources/IDP/internal/IDPCrypto.swift:70
BSI-eRp-ePA;O.Cryp_3;Sources/IDP/internal/JWT/JWE+KDF.swift:54
BSI-eRp-ePA;O.Cryp_3;Sources/VAUClient/internal/VAUCrypto.swift:114
BSI-eRp-ePA;O.Cryp_4;doc/manual/requirement-notes.md:115
BSI-eRp-ePA;O.Cryp_4;Sources/IDP/internal/TokenPayload.swift:223
BSI-eRp-ePA;O.Cryp_4;Sources/IDPLive/DefaultIDPSession.swift:913
BSI-eRp-ePA;O.Cryp_4;Sources/IDPLive/DefaultIDPSession.swift:872
BSI-eRp-ePA;O.Cryp_4;Sources/IDPLive/DefaultIDPSession.swift:835
BSI-eRp-ePA;O.Cryp_4;Sources/IDP/internal/JWT/JWE+Encryption.swift:44
BSI-eRp-ePA;O.Cryp_4;Sources/FeatureCardWall/ReadCard/NFCSignatureProvider.swift:322
BSI-eRp-ePA;O.Cryp_5;doc/manual/requirement-notes.md:116
BSI-eRp-ePA;O.Cryp_6;doc/manual/requirement-notes.md:117
BSI-eRp-ePA;O.Cryp_6;Sources/IDP/PrivateKeyContainer.swift:80
BSI-eRp-ePA;O.Cryp_7;doc/manual/requirement-notes.md:118
BSI-eRp-ePA;O.Cryp_7;Sources/IDP/PrivateKeyContainer.swift:33
BSI-eRp-ePA;O.Data_1;doc/manual/requirement-notes.md:144
BSI-eRp-ePA;O.Data_2;doc/manual/requirement-notes.md:145
BSI-eRp-ePA;O.Data_2;Sources/eRpApp/Session/KeychainStorage.swift:36
BSI-eRp-ePA;O.Data_3;doc/manual/requirement-notes.md:146
BSI-eRp-ePA;O.Data_4;doc/manual/requirement-notes.md:147
BSI-eRp-ePA;O.Data_5;doc/manual/requirement-notes.md:148
BSI-eRp-ePA;O.Data_6;doc/manual/requirement-notes.md:149
BSI-eRp-ePA;O.Data_6;Sources/FeatureCardWall/CAN/CardWallCANView.swift:120
BSI-eRp-ePA;O.Data_6;Sources/eRpApp/Screens/CameraView/ErxTaskScannerView.swift:37
BSI-eRp-ePA;O.Data_6;Sources/FeatureCardWall/PIN/CardWallPINView.swift:37
BSI-eRp-ePA;O.Data_6;Sources/eRpApp/Screens/Pharmacy/Redeem/PharmacyContactView.swift:28
BSI-eRp-ePA;O.Data_6;Sources/eRpApp/Tracking/AnalyticsReducer.swift:33
BSI-eRp-ePA;O.Data_6;Sources/eRpApp/Tracking/ContentSquareAnalyticsAdapter.swift:119
BSI-eRp-ePA;O.Data_7;doc/manual/requirement-notes.md:150
BSI-eRp-ePA;O.Data_8;doc/manual/requirement-notes.md:151
BSI-eRp-ePA;O.Data_8;Sources/eRpApp/Screens/CameraView/AVScannerView.swift:58
BSI-eRp-ePA;O.Data_8;Sources/eRpApp/Screens/Main/Profile/ImagePicker/PhotoPicker.swift:64
BSI-eRp-ePA;O.Data_9;doc/manual/requirement-notes.md:152
BSI-eRp-ePA;O.Data_9;Sources/eRpApp/Screens/Main/Profile/ImagePicker/PhotoPicker.swift:64
BSI-eRp-ePA;O.Data_10;doc/manual/requirement-notes.md:153
BSI-eRp-ePA;O.Data_10;App/Sources/AppDelegate.swift:52
BSI-eRp-ePA;O.Data_10;Sources/eRpStyleKit/Controls/Controls/SecureFieldWithReveal.swift:54
BSI-eRp-ePA;O.Data_11;doc/manual/requirement-notes.md:154
BSI-eRp-ePA;O.Data_12;doc/manual/requirement-notes.md:155
BSI-eRp-ePA;O.Data_13;doc/manual/requirement-notes.md:156
BSI-eRp-ePA;O.Data_13;Sources/eRpApp/SceneDelegate.swift:264
BSI-eRp-ePA;O.Data_13;Sources/eRpApp/SceneDelegate.swift:184
BSI-eRp-ePA;O.Data_14;doc/manual/requirement-notes.md:157
BSI-eRp-ePA;O.Data_15;doc/manual/requirement-notes.md:158
BSI-eRp-ePA;O.Data_15;Sources/eRpLocalStorage/CoreDataController.swift:100
BSI-eRp-ePA;O.Data_15;Sources/IDP/PrivateKeyContainer.swift:144
BSI-eRp-ePA;O.Data_16;doc/manual/requirement-notes.md:159
BSI-eRp-ePA;O.Data_17;doc/manual/requirement-notes.md:159
BSI-eRp-ePA;O.Data_18;doc/manual/requirement-notes.md:160
BSI-eRp-ePA;O.Ntwk_1;doc/manual/requirement-notes.md:165
BSI-eRp-ePA;O.Ntwk_2;doc/manual/requirement-notes.md:166
BSI-eRp-ePA;O.Ntwk_2;Sources/HTTPClientLive/DefaultHTTPClient.swift:51
BSI-eRp-ePA;O.Ntwk_3;doc/manual/requirement-notes.md:168
BSI-eRp-ePA;O.Ntwk_3;Sources/HTTPClientLive/DefaultHTTPClient.swift:51
BSI-eRp-ePA;O.Ntwk_4;doc/manual/requirement-notes.md:169
BSI-eRp-ePA;O.Ntwk_4;Sources/Settings/AppConfiguration.swift:153
BSI-eRp-ePA;O.Ntwk_5;doc/manual/requirement-notes.md:170
BSI-eRp-ePA;O.Ntwk_6;doc/manual/requirement-notes.md:171
BSI-eRp-ePA;O.Ntwk_6;Sources/VAUClient/VAUInterceptor.swift:30
BSI-eRp-ePA;O.Ntwk_6;Sources/VAUClient/internal/VAUCrypto.swift:127
BSI-eRp-ePA;O.Ntwk_7;doc/manual/requirement-notes.md:172
BSI-eRp-ePA;O.Ntwk_7;Sources/HTTPClientLive/DefaultHTTPClient.swift:51
BSI-eRp-ePA;O.Ntwk_8;doc/manual/requirement-notes.md:173
BSI-eRp-ePA;O.Paid_1;doc/manual/requirement-notes.md:162
BSI-eRp-ePA;O.Paid_2;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_3;doc/manual/requirement-notes.md:163
